Image_ID,"Posters, Branding","Off-court, Behind the scenes","In-Game, Live Action"
159,0.04181884,0.050080627,0.90810055
160,0.29630834,0.10028962,0.603402
161,0.33333334,0.33333334,0.33333334
162,0.083791316,0.8318681,0.08434064
163,0.1747289,0.6565444,0.16872671
164,0.058607325,0.067241766,0.87415093
165,0.08587671,0.829234,0.08488924
166,0.11341724,0.77472925,0.111853495
167,0.058307152,0.062499076,0.8791938
168,0.41036528,0.06077329,0.5288614
169,0.111443065,0.12064435,0.76791257
170,0.1669009,0.65504766,0.17805146
171,0.11119756,0.115999855,0.7728026
172,0.04185954,0.23814662,0.7199938
173,0.46534467,0.42240137,0.11225386
174,0.057626367,0.88429725,0.058076378
175,0.08340896,0.830717,0.08587401
176,0.08658988,0.0865054,0.8269047
177,0.11834002,0.137414,0.744246
178,0.06131755,0.40980098,0.5288815
179,0.66625226,0.16689487,0.16685282
180,0.05814261,0.8884534,0.05340401
181,0.057087563,0.69950163,0.24341078
182,0.36459443,0.09698958,0.538416
183,0.086660266,0.5210835,0.39225626
184,0.25552562,0.6929432,0.0515312
185,0.058845695,0.86128765,0.079866655
186,0.66635287,0.16691308,0.16673402
187,0.2993013,0.6509607,0.04973799
188,0.070024,0.5306918,0.39928418
189,0.04346331,0.91032946,0.046207283
190,0.6429559,0.27753976,0.079504386
191,0.46791598,0.4694029,0.06268115
192,0.24911638,0.6654447,0.085438974
193,0.12064745,0.118544064,0.76080847
194,0.06329637,0.45883432,0.47786933
195,0.07615288,0.0670735,0.8567737
196,0.058745794,0.88348514,0.057769038
197,0.06749688,0.0729828,0.8595203
198,0.08935544,0.08714115,0.82350343
199,0.18004666,0.1727473,0.647206
200,0.24057536,0.0668165,0.6926081
201,0.88811153,0.055679955,0.056208447
202,0.86178666,0.06874725,0.06946612
203,0.088063866,0.82180303,0.0901331
204,0.049576454,0.88675284,0.063670695
205,0.118539274,0.7658952,0.11556548
206,0.051301353,0.8922414,0.05645727
207,0.666359,0.16676722,0.16687377
208,0.047973547,0.70210683,0.24991964
209,0.06808143,0.067997664,0.86392087
210,0.057696883,0.32333538,0.6189677
211,0.056621566,0.6467605,0.29661793
212,0.33333334,0.33333334,0.33333334
213,0.6665734,0.16671567,0.1667109
214,0.33333334,0.33333334,0.33333334
215,0.27389023,0.6360333,0.09007651
216,0.16837461,0.16686946,0.6647559
217,0.33333334,0.33333334,0.33333334
218,0.75807834,0.12889585,0.11302576
219,0.8289358,0.08768231,0.08338186
220,0.1831369,0.77204925,0.044813827
221,0.7777135,0.11114927,0.11113723
222,0.22434615,0.2027809,0.57287294
223,0.8586125,0.073956884,0.06743066
224,0.8332537,0.083389826,0.083356485
225,0.085688435,0.8281287,0.08618288
226,0.17338127,0.65874517,0.16787356
227,0.33333334,0.33333334,0.33333334
228,0.057969708,0.058418635,0.8836117
229,0.08351746,0.56613725,0.3503453
230,0.55298465,0.04754381,0.39947158
231,0.49523032,0.06449392,0.44027576
232,0.05002637,0.056223873,0.8937498
233,0.054138996,0.049072903,0.89678806
234,0.061693497,0.8674975,0.07080904
235,0.33333334,0.33333334,0.33333334
236,0.28695583,0.324466,0.38857818
237,0.66636914,0.16682196,0.16680887
238,0.08508876,0.09719628,0.817715
239,0.08501321,0.8294939,0.085492864
240,0.05564658,0.87576264,0.06859078
241,0.07080696,0.5307893,0.39840373
242,0.16925366,0.6626605,0.1680859
243,0.086795956,0.8277278,0.085476264
244,0.07010903,0.39279914,0.53709185
245,0.05814998,0.4573116,0.48453844
246,0.08428508,0.08342237,0.83229256
247,0.046902463,0.045448046,0.9076495
248,0.08802177,0.08620333,0.8257749
249,0.39250952,0.11161206,0.4958784
250,0.74792033,0.058892533,0.19318712
251,0.08354468,0.80337924,0.113076106
252,0.24629092,0.05549542,0.69821364
253,0.049075752,0.90049094,0.05043328
254,0.8846238,0.0600046,0.055371575
255,0.6661959,0.1668445,0.16695961
256,0.6659986,0.16702352,0.16697793
257,0.08896126,0.82056075,0.09047798
258,0.16773386,0.6491424,0.18312372
259,0.061686527,0.059187867,0.87912554
260,0.16843157,0.16825715,0.66331124
261,0.07110718,0.49467885,0.43421397
262,0.11353796,0.7746418,0.111820236
263,0.12424617,0.7444701,0.13128364
264,0.07795798,0.64152455,0.2805175
265,0.06168947,0.06597408,0.87233645
266,0.33333334,0.33333334,0.33333334
267,0.06986587,0.8598836,0.070250586
268,0.32615864,0.08809561,0.58574575
269,0.35127604,0.53700435,0.11171972
270,0.043405652,0.044251274,0.9123431
271,0.058358554,0.06363425,0.87800723
272,0.8881165,0.055665776,0.056217752
273,0.1674524,0.19515981,0.6373878
274,0.10404403,0.824704,0.07125202
275,0.8222967,0.08822295,0.089480415
276,0.30673328,0.62411076,0.069155954
277,0.83319914,0.0833882,0.08341267
278,0.46016017,0.11283137,0.4270085
279,0.88471377,0.057025336,0.05826088
280,0.6665559,0.16673876,0.16670534
281,0.835226,0.08864427,0.076129735
282,0.8331944,0.08338267,0.08342293
283,0.8730347,0.06806422,0.058901027
284,0.4470279,0.441588,0.111384064
285,0.1152672,0.7674825,0.11725023
286,0.08516509,0.08570531,0.8291296
287,0.33333334,0.33333334,0.33333334
288,0.06042591,0.5515762,0.38799787
289,0.08886301,0.3893369,0.5218001
290,0.11645601,0.76600397,0.117540054
291,0.169529,0.16706942,0.66340154
292,0.07033941,0.6488873,0.28077328
293,0.11470179,0.7740661,0.11123208
294,0.23967281,0.06091142,0.69941574
295,0.167735,0.64895725,0.1833077
296,0.23315954,0.7183854,0.048455022
297,0.12412457,0.74830943,0.12756607
298,0.12663339,0.41331264,0.46005398
299,0.33333334,0.33333334,0.33333334
300,0.75840545,0.11911984,0.12247474
301,0.5822168,0.3051663,0.11261683
302,0.090767,0.8378368,0.0713961
303,0.33333334,0.33333334,0.33333334
304,0.111585,0.77077305,0.1176419
305,0.868732,0.07052543,0.06074263
306,0.08899047,0.81901056,0.09199897
307,0.057119444,0.70437914,0.23850138
308,0.049334675,0.29438332,0.656282
309,0.66599864,0.16702351,0.16697788
310,0.6614271,0.051691715,0.28688118
311,0.66635287,0.16691309,0.16673402
312,0.05029239,0.27398556,0.675722
313,0.08355867,0.10300578,0.81343555
314,0.4274426,0.08890186,0.48365554
315,0.08367493,0.7977012,0.11862391
316,0.42394027,0.50879484,0.06726494
317,0.71683896,0.1155404,0.1676206
318,0.049762156,0.67836326,0.27187464
319,0.83306974,0.08354685,0.08338346
320,0.7572257,0.072933115,0.16984119
321,0.50771517,0.07221142,0.42007342
322,0.8665531,0.06672793,0.06671893
323,0.05567699,0.06601146,0.8783116
324,0.413898,0.5025595,0.083542496
325,0.0836493,0.8223773,0.093973346
326,0.6865499,0.06254726,0.25090286
327,0.11137978,0.7770807,0.11153949
328,0.3364491,0.5793787,0.084172204
329,0.111445874,0.11126307,0.77729106
330,0.11265534,0.7626636,0.12468103
331,0.16673528,0.6662533,0.16701135
332,0.07066642,0.5956771,0.33365652
333,0.06753789,0.86384594,0.06861614
334,0.058944996,0.8703413,0.0707137
335,0.5671833,0.35897872,0.07383798
336,0.06752702,0.30992508,0.62254786
337,0.33333334,0.33333334,0.33333334
338,0.21756235,0.72165656,0.06078113
339,0.11186649,0.7768525,0.11128102
340,0.17139147,0.6344058,0.19420277
341,0.44351786,0.11152974,0.44495237
342,0.33333334,0.33333334,0.33333334
343,0.062495936,0.4819455,0.45555857
344,0.3451553,0.074317515,0.5805271
345,0.074612275,0.10125929,0.82412845
346,0.05157567,0.67250174,0.27592263
347,0.31404233,0.32470942,0.36124822
348,0.08398012,0.09529351,0.82072634
349,0.7315532,0.19676715,0.071679674
350,0.33333334,0.33333334,0.33333334
351,0.33333334,0.33333334,0.33333334
352,0.33333334,0.33333334,0.33333334
353,0.08349341,0.2220939,0.6944127
354,0.08143764,0.06903995,0.8495224
355,0.33333334,0.33333334,0.33333334
356,0.06939395,0.0688804,0.8617257
357,0.0557344,0.88488084,0.059384722
358,0.7814149,0.05049021,0.16809489
359,0.05780671,0.63586825,0.30632508
360,0.12862872,0.153849,0.7175223
361,0.052396707,0.19455287,0.7530504
362,0.22188155,0.049518988,0.7285994
363,0.091432676,0.054147713,0.85441965
364,0.061452243,0.06177445,0.8767733
365,0.043760523,0.055544302,0.9006952
366,0.6587968,0.17441471,0.16678852
367,0.118665114,0.116935775,0.7643991
368,0.055650536,0.062938735,0.8814108
369,0.063129365,0.06345604,0.8734146
370,0.1681391,0.1669651,0.66489583
371,0.048147324,0.8981955,0.0536572
372,0.4454432,0.08433681,0.47022003
373,0.72515094,0.219227,0.05562201
374,0.056444205,0.87427694,0.069278866
375,0.08470662,0.09093388,0.82435954
376,0.45100963,0.06495719,0.48403314
377,0.06399364,0.3469633,0.5890431
378,0.6935798,0.057199765,0.24922039
379,0.16773401,0.6491161,0.18314984
380,0.05757936,0.6888354,0.2535853
381,0.11387109,0.75480527,0.13132365
382,0.08356094,0.83046156,0.085977525
383,0.06812966,0.0689374,0.8629329
384,0.18754873,0.5818927,0.2305585
385,0.087283604,0.67038584,0.24233058
386,0.09063765,0.51576835,0.39359394
387,0.8712675,0.071729034,0.057003397
388,0.07189831,0.49769437,0.43040735
389,0.10755613,0.0862941,0.8061498
390,0.08467336,0.816195,0.099131614
391,0.059076797,0.7322611,0.2086621
392,0.39252415,0.48427072,0.123205096
393,0.061577164,0.8788494,0.0595734
394,0.6039727,0.2291465,0.1668808
395,0.083874926,0.5529819,0.36314315
396,0.831354,0.08360202,0.08504397
397,0.6662432,0.1667984,0.16695847
398,0.05875257,0.05699866,0.88424873
399,0.28903705,0.048912197,0.6620507
400,0.07706934,0.06811638,0.8548143
401,0.58378315,0.34634897,0.06986787
402,0.07217918,0.85149974,0.07632108
403,0.06672971,0.86510926,0.06816101
404,0.8764518,0.062560804,0.060987417
405,0.0645436,0.039443173,0.89601326
406,0.21779418,0.7223932,0.05981257
407,0.7776097,0.111175336,0.11121497
408,0.38170174,0.043835644,0.5744626
409,0.06760261,0.8653768,0.06702061
410,0.31441122,0.30516902,0.38041973
411,0.7218538,0.2291872,0.048959017
412,0.04431173,0.91406506,0.04162332
413,0.5884227,0.09909573,0.31248158
414,0.09446184,0.81475127,0.09078689
415,0.06678729,0.072141945,0.86107075
416,0.16745262,0.19525054,0.63729686
417,0.057106387,0.06857414,0.8743195
418,0.63584566,0.2917006,0.07245375
419,0.093557484,0.81161153,0.094831
420,0.047717284,0.67513514,0.27714753
421,0.07985882,0.84807295,0.07206827
422,0.4466647,0.14343275,0.40990254
423,0.057806227,0.41649583,0.525698
424,0.115773164,0.45351413,0.43071273
425,0.3648172,0.5440447,0.09113812
426,0.7351849,0.049351986,0.21546304
427,0.8370283,0.08321551,0.079756215
428,0.11503075,0.7666504,0.11831885
429,0.06148647,0.05610931,0.88240415
430,0.08992401,0.07531364,0.83476233
431,0.05934416,0.06504137,0.87561446
432,0.04178866,0.049927928,0.9082834
433,0.049937952,0.5015182,0.44854394
434,0.7462446,0.049634278,0.20412107
435,0.11202214,0.77542615,0.11255174
436,0.12037752,0.11841759,0.7612049
437,0.11182319,0.75860006,0.12957674
438,0.21030101,0.7305441,0.059154883
439,0.050081447,0.8913634,0.05855522
440,0.4445613,0.100981474,0.4544572
441,0.8438765,0.07409118,0.08203228
442,0.11767166,0.7440322,0.13829608
443,0.06103981,0.06619601,0.87276417
444,0.11447568,0.11131032,0.77421397
445,0.048465557,0.9030356,0.04849882
446,0.08354187,0.08898437,0.82747376
447,0.33333334,0.33333334,0.33333334
448,0.06715291,0.3556611,0.577186
449,0.7776224,0.11116443,0.111213185
450,0.5821775,0.30520582,0.11261662
451,0.8608247,0.072223656,0.06695165
452,0.33333334,0.33333334,0.33333334
453,0.34457287,0.5909917,0.06443542
454,0.44502512,0.49104038,0.06393458
455,0.042706124,0.043545473,0.9137484
456,0.066816494,0.562224,0.37095955
457,0.11131769,0.4355675,0.45311478
458,0.4275322,0.09172595,0.4807418
459,0.069158666,0.52463573,0.40620553
460,0.0709392,0.5281567,0.4009041
461,0.88651675,0.057267528,0.056215666
462,0.048302427,0.04991671,0.9017809
463,0.042872857,0.9134155,0.043711647
464,0.06913559,0.5041528,0.42671162
465,0.08945829,0.5275064,0.3830353
466,0.05583151,0.21394248,0.73022604
467,0.11827241,0.11129536,0.7704322
468,0.36313397,0.5453023,0.09156376
469,0.08447289,0.8314602,0.08406693
470,0.056637637,0.44265524,0.50070715
471,0.1188165,0.7594711,0.121712394
472,0.06689277,0.8020052,0.13110209
473,0.068932235,0.08052639,0.85054135
474,0.3421892,0.3341042,0.3237066
475,0.16745202,0.1949982,0.63754976
476,0.06826621,0.63806885,0.29366493
477,0.05967836,0.06311508,0.87720656
478,0.1674524,0.19515035,0.6373972
479,0.22603612,0.10321113,0.67075276
480,0.33333334,0.33333334,0.33333334
481,0.72262573,0.063674085,0.21370016
482,0.07210863,0.047857262,0.88003415
483,0.055896245,0.330906,0.6131978
484,0.4466719,0.1433971,0.40993103
485,0.082621,0.1669749,0.75040406
486,0.51097715,0.42609137,0.062931426
487,0.8867572,0.060023237,0.05321953
488,0.35408717,0.5781851,0.067727745
489,0.06889998,0.45695993,0.47414002
490,0.33333334,0.33333334,0.33333334
491,0.11134132,0.06468661,0.82397205
492,0.6884685,0.23002884,0.08150268
493,0.8095702,0.09790602,0.09252372
494,0.29385114,0.6326861,0.073462814
495,0.16496164,0.3172568,0.51778156
496,0.06674078,0.8636635,0.06959575
497,0.3382134,0.11553801,0.54624856
498,0.38227314,0.56141615,0.056310657
499,0.05448447,0.06001773,0.8854978
500,0.75004,0.119909234,0.13005075
501,0.048405502,0.050441433,0.901153
502,0.08501253,0.0863994,0.828588
503,0.058263507,0.8746364,0.06710013
504,0.04179802,0.43231735,0.5258846
505,0.16682586,0.66637504,0.1667991
506,0.8640838,0.06996598,0.06595019
507,0.27332357,0.6656963,0.060980134
508,0.6106941,0.0717964,0.31750947
509,0.612374,0.15164906,0.23597692
510,0.6557694,0.06288616,0.2813444
511,0.0652081,0.39284238,0.5419495
512,0.065357685,0.8737713,0.060871065
513,0.56793565,0.20531765,0.22674671
514,0.11169671,0.1116514,0.7766519
515,0.11459582,0.11769481,0.7677094
516,0.05783226,0.8849002,0.057267554
517,0.111546524,0.121687576,0.7667659
518,0.057265624,0.86679256,0.07594181
519,0.6527654,0.1681751,0.1790595
520,0.111688964,0.11272295,0.7755881
521,0.08382987,0.40458632,0.51158386
522,0.8244043,0.09073923,0.08485647
523,0.33333334,0.33333334,0.33333334
524,0.066949636,0.07125717,0.86179316
525,0.56295365,0.32443362,0.11261276
526,0.21572466,0.0595107,0.72476465
527,0.16910857,0.25922054,0.5716709
528,0.19482583,0.62392706,0.18124714
529,0.070617855,0.82142705,0.10795502
530,0.083623394,0.82113737,0.09523926
531,0.33333334,0.33333334,0.33333334
532,0.0863099,0.09128658,0.82240355
533,0.66573787,0.16744666,0.16681543
534,0.05686521,0.41931412,0.52382064
535,0.055729933,0.8799517,0.06431833
536,0.17826006,0.16698338,0.65475655
537,0.83317775,0.08340687,0.08341538
538,0.11749138,0.75679445,0.12571421
539,0.113210395,0.27667803,0.6101116
540,0.76357794,0.121804446,0.11461762
541,0.043373905,0.20687516,0.749751
542,0.043574605,0.9114311,0.04499434
543,0.05682033,0.077058785,0.8661209
544,0.055647396,0.062690295,0.8816623
545,0.16679047,0.1713683,0.6618413
546,0.852962,0.07790156,0.06913643
547,0.8380322,0.07343212,0.08853563
548,0.30303314,0.6237064,0.07326042
